Id,Timestamp,Source,Retwwet_Count,User_Name,tweets,text_length
1.25E+18,06/04/20 1:23,Twitter Web App,0,J.K,look migrant worker india they spread disease    shiva forgiveness  dilats minority india,16
1.25E+18,06/04/20 1:23,Twitter Web App,0,Kahu Rose NZ, long plane quietly  tell caught kick bucket,9
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,ÌÊå¨‰Û¢ÌÊå¨å_ÌÊå¨å¡ÌÊåøåÌÊå¨å_ÌÊåøåÌÊå¨å_ÌÊå¨åÀÌÊå¨‰Û¢ÌÊåø‰ÛÁÌÊå¨åøÌÊå¨å©ÌÊåøå.,tamilnadu celebrate increase patient burn crackers            ,18
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,SAKET,first case  keep tiger caution wild ,8
1.25E+18,06/04/20 1:23,Twitter Web App,0,Ì¡üÕåáQuardeningGayGuyÌ¡üÕåá,seem hospital  extra money   regardless         crash,17
1.25E+18,06/04/20 1:23,Twitter Web App,0,KeithRenderman,that last  stand match  long thought quarantine  ,11
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,Ì¡üå_‰Û_Ì¡ü‰Ûª_,     allergy season         ,16
1.25E+18,06/04/20 1:23,Twitter for Android,0,Nicole A Restrepo, thats thing janet patient access drug   take away plenty  around   moment problem million wont need autoimmune disease create  problem susceptible,27
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,chazy Ì¢èÏå_, okay                 ,19
1.25E+18,06/04/20 1:23,Twitter for Android,0,Chris,rapidly approach point discourse lawyer follow real stupid quasi medical theory nobody  technically doctor,15
1.25E+18,06/04/20 1:23,Twitter for Android,0,Sumit Tandon, dere trend  decline derehere likely trend  bfre   downdese jaahil bastard transmit anything lockdown   also increase  kpng case double dayshoping bestu also stay safe,31
1.25E+18,06/04/20 1:23,Twitter Web App,0,Mike Weiss, agree dont downplayed comparing ,6
1.25E+18,06/04/20 1:23,Twitter for iPad,0,Queen Slopstance,     fredo donate plasma recovers personally     believe just  hanks wife plasma donation,21
1.25E+18,06/04/20 1:23,Twitter for Android,0,Harsha Vardhan Ayachitula,issue resolve  start    something,8
1.25E+18,06/04/20 1:23,Twitter for iPad,0,Rhett Butler, scar know,3
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,hamidah,swear  turn domestic bitch  bake bread make coffee cleaning everyday          know cinderella felt shit     ,30
1.25E+18,06/04/20 1:23,Twitter Web App,0,Eda Seyhan,compile example excessive policing   wish share info,9
